controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
fixed_policy,train_like,420000,1,0,37,11.840000000000003,0.31991518894201965,2,0,8,0.28585610057858923
liquid_online,train_like,420000,1,0,43,13.759999999999998,0.42442935633274964,0,0,8,0.24849432603811386
liquid_supervisor,train_like,420000,1,0,42,13.439999999999998,0.42442935633274964,0,0,8,0.2578934691302389
fixed_policy,train_like,420017,1,0,43,13.760000000000009,0.2517702331423232,2,0,16,0.24615271250070062
liquid_online,train_like,420017,1,0,43,13.76,0.2517702331423232,2,0,16,0.24483866125721365
liquid_supervisor,train_like,420017,1,0,94,30.080000000000023,0.35973882379844796,0,2,8,0.11327736075688406
fixed_policy,train_like,420034,1,0,39,12.480000000000008,0.6120615795920012,0,0,8,0.26890558187501157
liquid_online,train_like,420034,1,0,41,13.120000000000005,0.3241073851309139,1,0,16,0.2553921130990229
liquid_supervisor,train_like,420034,1,0,42,13.440000000000007,0.4186114633500992,0,1,8,0.25531242560230694
fixed_policy,train_like,420051,1,0,50,16.000000000000007,0.5183256815202428,0,0,8,0.21113087418253923
liquid_online,train_like,420051,1,0,41,13.120000000000008,0.3183483978532781,1,0,16,0.257036389607583
liquid_supervisor,train_like,420051,1,0,64,20.480000000000004,0.3724191175017972,0,2,8,0.16516398208692418
fixed_policy,train_like,420068,1,0,67,21.440000000000005,0.3555961310671491,0,0,8,0.16003779199225793
liquid_online,train_like,420068,1,0,43,13.76000000000001,0.27009490604389813,2,0,16,0.2453418738537223
liquid_supervisor,train_like,420068,1,0,44,14.079999999999998,0.35417285495021006,0,2,8,0.24118254475539241
fixed_policy,train_like,420085,1,0,68,21.760000000000005,0.5672553275899785,0,0,8,0.15531866527795393
liquid_online,train_like,420085,1,0,40,12.800000000000006,0.3789898391218422,0,0,8,0.26756163233580255
liquid_supervisor,train_like,420085,1,0,40,12.800000000000006,0.3789898391218422,0,0,8,0.26756163233580255
fixed_policy,train_like,420102,1,0,40,12.80000000000001,0.5043392587284501,0,0,8,0.2628637795981451
liquid_online,train_like,420102,1,0,41,13.120000000000008,0.5043392587284501,0,0,8,0.2558675867612789
liquid_supervisor,train_like,420102,1,0,41,13.120000000000008,0.5043392587284501,0,0,8,0.2558675867612789
fixed_policy,train_like,420119,1,0,79,25.28000000000002,0.5337618896363601,0,0,8,0.13459002096133635
liquid_online,train_like,420119,1,0,42,13.440000000000008,0.5026204272833319,0,0,8,0.2509136293612831
liquid_supervisor,train_like,420119,1,0,42,13.440000000000008,0.5026204272833319,0,0,8,0.2509136293612831
fixed_policy,train_like,420136,1,0,43,13.759999999999998,0.31181514219598333,1,0,15,0.24411165405497065
liquid_online,train_like,420136,1,0,43,13.759999999999996,0.22261424836974292,2,0,16,0.24416018493872507
liquid_supervisor,train_like,420136,0,0,120,38.40000000000003,0.4283128029371654,0,2,8,0.07779033562365158
fixed_policy,train_like,420153,1,0,67,21.440000000000015,0.3315305857749988,1,0,15,0.1601402180366021
liquid_online,train_like,420153,1,0,48,15.360000000000003,0.24509803694415294,2,0,16,0.21982009469074507
liquid_supervisor,train_like,420153,1,0,81,25.920000000000005,0.4198766279434449,0,2,8,0.12989297658643031
fixed_policy,train_like,420170,1,0,60,19.200000000000014,0.341954322864721,1,0,16,0.1787194521590294
liquid_online,train_like,420170,1,0,51,16.32,0.13416461686654885,3,0,15,0.2082236489573556
liquid_supervisor,train_like,420170,1,0,44,14.080000000000007,0.40851564381244615,0,2,8,0.24218201341157775
fixed_policy,train_like,420187,1,0,40,12.8,0.5528721257782758,0,0,8,0.26782224609382665
liquid_online,train_like,420187,1,0,71,22.720000000000017,0.46280101746722363,0,0,8,0.15051049245654738
liquid_supervisor,train_like,420187,1,0,39,12.480000000000008,0.3703105834745259,0,1,8,0.2701847227697885
fixed_policy,train_like,420204,1,0,40,12.800000000000002,0.49249525998471894,0,0,8,0.26572937815905406
liquid_online,train_like,420204,1,0,40,12.799999999999999,0.49249525998471894,0,0,8,0.26403853805434985
liquid_supervisor,train_like,420204,1,0,40,12.799999999999999,0.49249525998471894,0,0,8,0.26403853805434985
fixed_policy,train_like,420221,1,0,40,12.799999999999997,0.5224041589439725,0,0,8,0.2633878073787561
liquid_online,train_like,420221,1,0,43,13.759999999999998,0.3225114390845804,2,0,16,0.2454073628856346
liquid_supervisor,train_like,420221,1,0,43,13.759999999999996,0.3723777500892866,0,2,8,0.2494004160737059
fixed_policy,train_like,420238,1,0,53,16.960000000000008,0.5069433687828464,0,0,8,0.20005400738305174
liquid_online,train_like,420238,1,0,68,21.760000000000012,0.3565296664855974,0,0,8,0.15613772589318883
liquid_supervisor,train_like,420238,1,0,72,23.040000000000013,0.3565296664855974,0,1,8,0.14717670998725238
fixed_policy,train_like,420255,1,0,70,22.400000000000013,0.4666154058387619,0,0,8,0.1534890666743096
liquid_online,train_like,420255,1,0,42,13.440000000000003,0.4666154058387619,0,0,8,0.24999812902329877
liquid_supervisor,train_like,420255,1,0,42,13.440000000000008,0.4666154058387619,0,0,8,0.2566303564547928
fixed_policy,train_like,420272,1,0,97,31.040000000000013,0.6162285943688548,0,0,8,0.10914935879426466
liquid_online,train_like,420272,1,0,41,13.120000000000008,0.3352553587900075,1,0,16,0.2546367711670633
liquid_supervisor,train_like,420272,1,0,43,13.760000000000007,0.42140682718817407,0,1,8,0.24493601023947276
fixed_policy,train_like,420289,1,0,40,12.800000000000008,0.6067445723865934,0,0,8,0.26432271427477655
liquid_online,train_like,420289,1,0,43,13.760000000000009,0.3074895953895484,1,0,16,0.2463043982589704
liquid_supervisor,train_like,420289,1,0,62,19.840000000000014,0.3904085258296221,0,2,8,0.17309823841820543
fixed_policy,train_like,420306,1,0,48,15.360000000000005,0.28377565478285094,3,0,8,0.2206460855484473
liquid_online,train_like,420306,1,0,46,14.72000000000001,0.28607946097619913,4,0,16,0.23397574344783725
liquid_supervisor,train_like,420306,1,0,44,14.079999999999998,0.3730467484679673,0,1,8,0.240521802202831
fixed_policy,train_like,420323,1,0,41,13.120000000000001,0.4241401329210192,0,0,8,0.25770966606017964
liquid_online,train_like,420323,1,0,60,19.200000000000003,0.3202318092880618,1,0,8,0.17615852162800177
liquid_supervisor,train_like,420323,1,0,46,14.719999999999999,0.29196646027527223,1,1,8,0.22763175245549652
fixed_policy,shifted_clutter,420001,1,0,104,33.28000000000001,0.5478492475887444,0,0,8,0.10258240374734942
liquid_online,shifted_clutter,420001,1,0,50,16.0,0.35151364495988496,0,0,8,0.2105046543847079
liquid_supervisor,shifted_clutter,420001,1,0,43,13.759999999999998,0.5478492475887444,0,0,8,0.24354205988627578
fixed_policy,shifted_clutter,420018,1,0,41,13.120000000000005,0.15459014964431744,4,0,17,0.26122290048010055
liquid_online,shifted_clutter,420018,1,0,41,13.120000000000006,0.15459014964431744,4,0,17,0.2639078023953507
liquid_supervisor,shifted_clutter,420018,1,0,41,13.120000000000005,0.3551273366658106,0,5,8,0.26218530647550503
fixed_policy,shifted_clutter,420035,0,0,120,38.40000000000002,0.47678584911753846,0,0,8,0.0781052487356828
liquid_online,shifted_clutter,420035,1,0,67,21.440000000000005,0.17771489981208938,4,0,8,0.15948952904063354
liquid_supervisor,shifted_clutter,420035,1,0,77,24.640000000000008,0.3769216026284938,0,1,8,0.1377101696601332
fixed_policy,shifted_clutter,420052,1,0,82,26.240000000000006,0.6095154792650683,0,0,8,0.12966282796601408
liquid_online,shifted_clutter,420052,1,0,46,14.719999999999999,0.5835940218216107,0,0,8,0.23498539529443857
liquid_supervisor,shifted_clutter,420052,1,0,46,14.719999999999999,0.5835940218216107,0,0,8,0.23498539529443857
fixed_policy,shifted_clutter,420069,1,0,45,14.400000000000006,0.6963700572950904,0,0,8,0.2324036333175248
liquid_online,shifted_clutter,420069,1,0,44,14.080000000000009,0.23096622161809116,2,0,8,0.2382130568061287
liquid_supervisor,shifted_clutter,420069,1,0,68,21.760000000000016,0.2706431377207303,1,2,8,0.1570834130159217
fixed_policy,shifted_clutter,420086,1,0,54,17.280000000000005,0.49308216119994125,0,0,8,0.19548988896848052
liquid_online,shifted_clutter,420086,1,0,61,19.520000000000007,0.3191757255123108,1,0,8,0.172603696722374
liquid_supervisor,shifted_clutter,420086,1,0,65,20.800000000000008,0.4026042401537528,0,1,8,0.1630530974369645
fixed_policy,shifted_clutter,420103,1,0,43,13.760000000000002,0.5391017312011372,0,0,8,0.24581267754308786
liquid_online,shifted_clutter,420103,1,0,46,14.719999999999997,0.008715854651841048,5,0,8,0.23458641733821917
liquid_supervisor,shifted_clutter,420103,1,0,45,14.399999999999999,0.39938339019578856,0,1,8,0.23347097628825714
fixed_policy,shifted_clutter,420120,1,0,41,13.120000000000005,0.4039698444743626,0,0,8,0.258565005120534
liquid_online,shifted_clutter,420120,0,1,46,14.72000000000001,-0.0030923197285164794,5,0,8,0.21304706479577787
liquid_supervisor,shifted_clutter,420120,1,0,44,14.080000000000007,0.480291036095801,0,0,8,0.24162453642813098
fixed_policy,shifted_clutter,420137,1,0,42,13.440000000000008,0.5589250679709494,0,0,8,0.25405318555370826
liquid_online,shifted_clutter,420137,1,0,49,15.68000000000001,0.29469271062990693,1,0,8,0.21526967204538391
liquid_supervisor,shifted_clutter,420137,1,0,46,14.720000000000006,0.48914185417946293,0,1,8,0.228666465812492
fixed_policy,shifted_clutter,420154,1,0,53,16.96000000000001,0.5587242294036014,0,0,8,0.19946535629819762
liquid_online,shifted_clutter,420154,1,0,45,14.400000000000004,0.21175606779052786,2,0,8,0.23950810844063591
liquid_supervisor,shifted_clutter,420154,1,0,45,14.40000000000001,0.39026820802012246,0,1,8,0.23466034325811028
fixed_policy,shifted_clutter,420171,1,0,105,33.60000000000002,0.26908747753972273,4,0,8,0.10225363678742165
liquid_online,shifted_clutter,420171,1,0,45,14.4,0.14464321926634555,3,0,8,0.23598995278533047
liquid_supervisor,shifted_clutter,420171,1,0,49,15.680000000000001,0.36589146443824355,0,1,8,0.21528382862101814
fixed_policy,shifted_clutter,420188,1,0,42,13.44000000000001,0.6127800710321354,0,0,8,0.2543512696775919
liquid_online,shifted_clutter,420188,1,0,45,14.40000000000001,0.300575436964644,1,0,8,0.23675672708512815
liquid_supervisor,shifted_clutter,420188,1,0,44,14.080000000000009,0.3802175142876771,0,0,8,0.24256108348733843
fixed_policy,shifted_clutter,420205,1,0,58,18.56000000000001,0.5657079559985208,0,0,8,0.18193234867503497
liquid_online,shifted_clutter,420205,1,0,44,14.080000000000009,0.35184383562403604,0,0,8,0.2418760598971085
liquid_supervisor,shifted_clutter,420205,1,0,44,14.080000000000009,0.35184383562403604,0,0,8,0.2418760598971085
fixed_policy,shifted_clutter,420222,1,0,42,13.440000000000003,0.6910039993527866,0,0,8,0.2516216873620958
liquid_online,shifted_clutter,420222,1,0,45,14.399999999999995,0.16578943801685114,3,0,8,0.23720978294090736
liquid_supervisor,shifted_clutter,420222,1,0,44,14.079999999999995,0.40613298955376437,0,1,8,0.24377367003414785
fixed_policy,shifted_clutter,420239,1,0,66,21.120000000000008,0.7084008304551546,0,0,8,0.1614271026309228
liquid_online,shifted_clutter,420239,1,0,47,15.040000000000001,0.5119295181612094,0,0,8,0.22811280203153664
liquid_supervisor,shifted_clutter,420239,1,0,47,15.040000000000001,0.5119295181612094,0,0,8,0.22811280203153664
fixed_policy,shifted_clutter,420256,1,0,50,16.000000000000004,0.5902882202429427,0,0,8,0.21179734426766614
liquid_online,shifted_clutter,420256,1,0,43,13.759999999999996,0.6089491482500546,0,0,8,0.24762936853768888
liquid_supervisor,shifted_clutter,420256,1,0,67,21.440000000000005,0.26954088839161167,1,2,8,0.1601428514070616
fixed_policy,shifted_clutter,420273,1,0,43,13.760000000000003,0.5313900397702958,0,0,8,0.24322502908259622
liquid_online,shifted_clutter,420273,1,0,42,13.440000000000008,0.6693458408306634,0,0,8,0.2492312657532016
liquid_supervisor,shifted_clutter,420273,1,0,42,13.440000000000008,0.6693458408306634,0,0,8,0.2492312657532016
fixed_policy,shifted_clutter,420290,0,1,7,2.2400000000000007,-0.1595754625903794,2,0,120,0.2829240858605167
liquid_online,shifted_clutter,420290,0,1,7,2.2400000000000007,-0.1595754625903794,2,0,120,0.2829240858605167
liquid_supervisor,shifted_clutter,420290,1,0,49,15.680000000000005,0.35445937090520147,0,4,15,0.21765703249971624
fixed_policy,shifted_clutter,420307,1,0,63,20.160000000000007,0.6801268356154515,0,0,8,0.16701453555200313
liquid_online,shifted_clutter,420307,1,0,44,14.08000000000001,0.2639967235825133,1,0,8,0.24062567788719916
liquid_supervisor,shifted_clutter,420307,1,0,66,21.12000000000001,0.3656702473999453,0,1,8,0.1593371237318224
fixed_policy,shifted_clutter,420324,1,0,92,29.440000000000015,0.2593008091539927,1,0,8,0.11494569756416709
liquid_online,shifted_clutter,420324,1,0,67,21.440000000000015,0.22108632697248215,4,0,8,0.15954739404154028
liquid_supervisor,shifted_clutter,420324,1,0,44,14.079999999999995,0.41385860355679477,0,1,8,0.24373082391548018
fixed_policy,narrow_gate,420002,1,0,40,12.800000000000002,0.8632445655766068,0,0,8,0.26357118236270505
liquid_online,narrow_gate,420002,1,0,42,13.439999999999998,0.9268823873404077,0,0,8,0.25225581048922124
liquid_supervisor,narrow_gate,420002,1,0,42,13.439999999999998,0.9268823873404077,0,0,8,0.25253091745952677
fixed_policy,narrow_gate,420019,1,0,43,13.760000000000007,0.6763132503663098,0,0,8,0.24966681050779768
liquid_online,narrow_gate,420019,1,0,61,19.520000000000014,0.2955728551169718,1,0,8,0.17671016061739206
liquid_supervisor,narrow_gate,420019,1,0,45,14.400000000000006,0.36746301219451144,0,2,8,0.2385359710171279
fixed_policy,narrow_gate,420036,1,0,65,20.80000000000001,0.5166202794931825,0,0,8,0.16457987773545144
liquid_online,narrow_gate,420036,1,0,42,13.440000000000005,0.6042591764342768,0,0,8,0.2523032136147206
liquid_supervisor,narrow_gate,420036,1,0,43,13.760000000000005,0.40018012282521703,0,0,8,0.24737942609093425
fixed_policy,narrow_gate,420053,1,0,43,13.760000000000007,0.4168350207514981,0,0,8,0.24546906389663867
liquid_online,narrow_gate,420053,1,0,47,15.040000000000008,0.6233323017866259,0,0,8,0.2271610678639805
liquid_supervisor,narrow_gate,420053,1,0,46,14.720000000000004,0.6968126456195816,0,0,8,0.22934329263836134
fixed_policy,narrow_gate,420070,1,0,64,20.480000000000008,0.25189118706823205,4,0,8,0.1684883075564919
liquid_online,narrow_gate,420070,1,0,76,24.320000000000014,0.37823379132975327,0,0,8,0.1394174935670064
liquid_supervisor,narrow_gate,420070,1,0,42,13.440000000000007,0.49182940085338606,0,0,8,0.2538569362438633
fixed_policy,narrow_gate,420087,1,0,50,16.000000000000007,0.7828047178885875,0,0,8,0.21453404478253593
liquid_online,narrow_gate,420087,1,0,52,16.640000000000004,0.3262964739177185,2,0,8,0.20571640590335297
liquid_supervisor,narrow_gate,420087,1,0,45,14.400000000000002,0.35227094680701193,0,3,8,0.23995417944750233
fixed_policy,narrow_gate,420104,1,0,44,14.080000000000009,0.7276741550619084,0,0,8,0.24463737501876184
liquid_online,narrow_gate,420104,1,0,50,16.000000000000004,0.2510508728383661,3,0,8,0.21049853617235315
liquid_supervisor,narrow_gate,420104,1,0,44,14.080000000000007,0.4095139395235587,0,2,8,0.2397595874981577
fixed_policy,narrow_gate,420121,1,0,46,14.720000000000006,0.728728824705456,0,0,8,0.23054670642640898
liquid_online,narrow_gate,420121,1,0,65,20.800000000000015,0.28953416353166456,2,0,8,0.16281264524560526
liquid_supervisor,narrow_gate,420121,1,0,71,22.720000000000017,0.39366533063400916,0,1,8,0.1483794303983704
fixed_policy,narrow_gate,420138,1,0,41,13.120000000000005,0.7696592614680668,0,0,8,0.2587739989243602
liquid_online,narrow_gate,420138,1,0,47,15.040000000000004,0.3533376849300491,0,0,8,0.22796496904398397
liquid_supervisor,narrow_gate,420138,1,0,46,14.720000000000006,0.5708633283278495,0,0,8,0.23033308042619774
fixed_policy,narrow_gate,420155,1,0,42,13.440000000000001,0.6939750718371982,0,0,8,0.25607483218151783
