controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
fixed_policy,zigzag_corridor,770000,0,1,39,12.480000000000004,-0.22118479881806247,9,0,8,0.17227260779645628
liquid_online,zigzag_corridor,770000,0,1,27,8.64,-0.037759191197168585,3,0,8,0.1634336997068136
liquid_supervisor,zigzag_corridor,770000,0,1,80,25.60000000000002,-0.15627962412535917,3,9,8,0.057751846375427754
fixed_policy,zigzag_corridor,770017,0,1,26,8.320000000000004,-0.12061995344580118,3,0,8,0.17659712187709176
liquid_online,zigzag_corridor,770017,0,1,54,17.28000000000001,-0.00835710253527916,13,0,8,0.15637279984983035
liquid_supervisor,zigzag_corridor,770017,0,0,120,38.40000000000003,0.3433972286502042,1,9,8,0.03719778774206095
fixed_policy,zigzag_corridor,770034,0,1,30,9.600000000000005,-0.02875885058666705,8,0,8,0.16239770287704108
liquid_online,zigzag_corridor,770034,0,1,36,11.519999999999996,-0.173406615243621,9,0,8,0.19176246431405905
liquid_supervisor,zigzag_corridor,770034,1,0,50,16.0,0.15537263376902855,8,10,8,0.21471550867469982
fixed_policy,zigzag_corridor,770051,0,1,36,11.520000000000003,-0.15359922830169714,7,0,8,0.18829152481730393
liquid_online,zigzag_corridor,770051,1,0,51,16.320000000000004,0.1406116710332499,21,0,8,0.2101050553690341
liquid_supervisor,zigzag_corridor,770051,1,0,100,32.00000000000002,0.05849588034427555,8,24,8,0.10518792408746686
fixed_policy,zigzag_corridor,770068,0,1,29,9.28,-0.09049497335237527,3,0,8,0.15741421090242005
liquid_online,zigzag_corridor,770068,0,1,91,29.12000000000002,-0.02058245460904856,14,0,8,0.030508865742960686
liquid_supervisor,zigzag_corridor,770068,1,0,70,22.40000000000001,0.14694195245047204,8,11,8,0.1493533254106389
fixed_policy,zigzag_corridor,770085,0,1,27,8.639999999999999,-0.07079612979222982,2,0,8,0.17234119180789148
liquid_online,zigzag_corridor,770085,0,1,36,11.520000000000007,-0.07100393604288568,7,0,8,0.1909239462559638
liquid_supervisor,zigzag_corridor,770085,1,0,49,15.68000000000001,0.17673088944189858,7,9,8,0.21956220214562955
fixed_policy,zigzag_corridor,770102,0,1,27,8.639999999999997,-0.10133844942295661,3,0,8,0.17429267915363944
liquid_online,zigzag_corridor,770102,0,1,28,8.960000000000003,-0.09007448922843891,2,0,8,0.1639778835517875
liquid_supervisor,zigzag_corridor,770102,1,0,51,16.32000000000001,0.1453041951873943,7,14,8,0.20855565170960982
fixed_policy,zigzag_corridor,770119,0,1,75,24.000000000000014,-0.10217607937632017,22,0,8,0.060195887489018864
liquid_online,zigzag_corridor,770119,0,1,23,7.360000000000001,-0.0039879384719110345,2,0,8,0.19020366370193234
liquid_supervisor,zigzag_corridor,770119,1,0,86,27.52000000000002,0.010251686776819091,17,27,8,0.12285136540015579
fixed_policy,dense_maze,770001,0,1,40,12.8,-0.05551548439326076,14,0,8,0.21993436794153592
liquid_online,dense_maze,770001,0,1,18,5.760000000000001,-0.05615067166568988,8,0,8,0.23310877542777084
liquid_supervisor,dense_maze,770001,1,0,50,16.0,0.2985829127886932,3,9,8,0.21530793781597093
fixed_policy,dense_maze,770018,0,1,28,8.960000000000004,-0.10217238749408053,8,0,8,0.2141210112416374
liquid_online,dense_maze,770018,0,1,23,7.360000000000003,-0.10770796645288361,9,0,8,0.19650243386929747
liquid_supervisor,dense_maze,770018,1,0,71,22.720000000000013,0.24266464594760756,3,12,8,0.15171255985994958
fixed_policy,dense_maze,770035,0,1,28,8.960000000000006,-0.08799900411049877,6,0,8,0.21068111428712993
liquid_online,dense_maze,770035,0,1,22,7.040000000000005,-0.020625085358943918,6,0,8,0.2138994792676049
liquid_supervisor,dense_maze,770035,1,0,47,15.040000000000012,0.2565993920605611,3,6,8,0.22945396143983848
fixed_policy,dense_maze,770052,0,1,41,13.120000000000006,-0.1837788270731997,12,0,8,0.21480558466144842
liquid_online,dense_maze,770052,0,1,34,10.880000000000004,-0.10087784201031547,8,0,8,0.2120245657222741
liquid_supervisor,dense_maze,770052,1,0,48,15.36000000000001,0.2513672816156023,3,9,8,0.2232883477636309
fixed_policy,dense_maze,770069,0,1,33,10.560000000000004,-0.07935132418532087,7,0,8,0.16979931565714446
liquid_online,dense_maze,770069,0,1,30,9.600000000000003,-0.20859577613875224,14,0,8,0.2108193111142121
liquid_supervisor,dense_maze,770069,1,0,46,14.72000000000001,0.2923656793899931,3,10,8,0.22979580267069408
fixed_policy,dense_maze,770086,0,1,24,7.6799999999999935,-0.0061430105765338805,5,0,8,0.1922384203347207
liquid_online,dense_maze,770086,1,0,48,15.359999999999998,0.05740298046584413,19,0,8,0.22104925269630993
liquid_supervisor,dense_maze,770086,1,0,47,15.040000000000006,0.3018753816938382,3,7,8,0.2294872631871726
fixed_policy,dense_maze,770103,0,1,26,8.320000000000002,-0.05887510545430785,6,0,8,0.18450029578751376
liquid_online,dense_maze,770103,0,1,22,7.040000000000001,-0.008563048528331285,11,0,8,0.21070692668121127
liquid_supervisor,dense_maze,770103,1,0,47,15.040000000000008,0.27506933983687887,2,9,8,0.22603067572081664
