controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
fixed_policy,zigzag_corridor,770000,0,1,39,12.480000000000004,-0.22118479881806247,9,0,8,0.17227260779645628
liquid_online,zigzag_corridor,770000,0,1,27,8.64,-0.037759191197168585,3,0,8,0.1634336997068136
liquid_supervisor,zigzag_corridor,770000,1,0,53,16.960000000000008,0.1748122515326841,5,37,8,0.20063618730428529
fixed_policy,zigzag_corridor,770017,0,1,26,8.320000000000004,-0.12061995344580118,3,0,8,0.17659712187709176
liquid_online,zigzag_corridor,770017,0,1,54,17.28000000000001,-0.00835710253527916,13,0,8,0.15637279984983035
liquid_supervisor,zigzag_corridor,770017,1,0,48,15.360000000000005,0.13897836769649907,5,25,8,0.22303853442836252
fixed_policy,zigzag_corridor,770034,0,1,30,9.600000000000005,-0.02875885058666705,8,0,8,0.16239770287704108
liquid_online,zigzag_corridor,770034,0,1,36,11.519999999999996,-0.173406615243621,9,0,8,0.19176246431405905
liquid_supervisor,zigzag_corridor,770034,1,0,65,20.800000000000015,0.17540609341289293,6,47,8,0.16666438003743342
fixed_policy,zigzag_corridor,770051,0,1,36,11.520000000000003,-0.15359922830169714,7,0,8,0.18829152481730393
liquid_online,zigzag_corridor,770051,1,0,51,16.320000000000004,0.1406116710332499,21,0,8,0.2101050553690341
liquid_supervisor,zigzag_corridor,770051,1,0,68,21.760000000000016,0.20230135347517986,4,40,8,0.15735118177903132
fixed_policy,zigzag_corridor,770068,0,1,29,9.28,-0.09049497335237527,3,0,8,0.15741421090242005
liquid_online,zigzag_corridor,770068,0,1,91,29.12000000000002,-0.02058245460904856,14,0,8,0.030508865742960686
liquid_supervisor,zigzag_corridor,770068,1,0,61,19.520000000000014,0.19327664748943763,5,39,8,0.17213177068673843
fixed_policy,zigzag_corridor,770085,0,1,27,8.639999999999999,-0.07079612979222982,2,0,8,0.17234119180789148
liquid_online,zigzag_corridor,770085,0,1,36,11.520000000000007,-0.07100393604288568,7,0,8,0.1909239462559638
liquid_supervisor,zigzag_corridor,770085,1,0,70,22.400000000000013,0.14030889498103394,5,48,8,0.15299575061389428
fixed_policy,zigzag_corridor,770102,0,1,27,8.639999999999997,-0.10133844942295661,3,0,8,0.17429267915363944
liquid_online,zigzag_corridor,770102,0,1,28,8.960000000000003,-0.09007448922843891,2,0,8,0.1639778835517875
liquid_supervisor,zigzag_corridor,770102,1,0,49,15.680000000000007,0.18399700500622862,5,42,8,0.2211289967728618
fixed_policy,zigzag_corridor,770119,0,1,75,24.000000000000014,-0.10217607937632017,22,0,8,0.060195887489018864
liquid_online,zigzag_corridor,770119,0,1,23,7.360000000000001,-0.0039879384719110345,2,0,8,0.19020366370193234
liquid_supervisor,zigzag_corridor,770119,1,0,59,18.88000000000001,0.15156674175798535,5,40,8,0.18064396186909978
fixed_policy,dense_maze,770001,0,1,40,12.8,-0.05551548439326076,14,0,8,0.21993436794153592
liquid_online,dense_maze,770001,0,1,18,5.760000000000001,-0.05615067166568988,8,0,8,0.23310877542777084
liquid_supervisor,dense_maze,770001,1,0,46,14.720000000000008,0.23629462005313595,3,26,8,0.2322469839500126
fixed_policy,dense_maze,770018,0,1,28,8.960000000000004,-0.10217238749408053,8,0,8,0.2141210112416374
liquid_online,dense_maze,770018,0,1,23,7.360000000000003,-0.10770796645288361,9,0,8,0.19650243386929747
liquid_supervisor,dense_maze,770018,1,0,46,14.72000000000001,0.26428498233180187,4,18,8,0.23079638000973743
fixed_policy,dense_maze,770035,0,1,28,8.960000000000006,-0.08799900411049877,6,0,8,0.21068111428712993
liquid_online,dense_maze,770035,0,1,22,7.040000000000005,-0.020625085358943918,6,0,8,0.2138994792676049
liquid_supervisor,dense_maze,770035,1,0,46,14.72000000000001,0.2355032494292988,4,19,8,0.2324696060976704
fixed_policy,dense_maze,770052,0,1,41,13.120000000000006,-0.1837788270731997,12,0,8,0.21480558466144842
liquid_online,dense_maze,770052,0,1,34,10.880000000000004,-0.10087784201031547,8,0,8,0.2120245657222741
liquid_supervisor,dense_maze,770052,1,0,47,15.04000000000001,0.26432521721021873,3,22,8,0.23136030831061574
fixed_policy,dense_maze,770069,0,1,33,10.560000000000004,-0.07935132418532087,7,0,8,0.16979931565714446
liquid_online,dense_maze,770069,0,1,30,9.600000000000003,-0.20859577613875224,14,0,8,0.2108193111142121
liquid_supervisor,dense_maze,770069,1,0,46,14.719999999999999,0.24210747075543615,3,19,8,0.23203723187481895
fixed_policy,dense_maze,770086,0,1,24,7.6799999999999935,-0.0061430105765338805,5,0,8,0.1922384203347207
liquid_online,dense_maze,770086,1,0,48,15.359999999999998,0.05740298046584413,19,0,8,0.22104925269630993
liquid_supervisor,dense_maze,770086,1,0,46,14.72000000000001,0.23542453319060752,4,17,8,0.23271908153690113
fixed_policy,dense_maze,770103,0,1,26,8.320000000000002,-0.05887510545430785,6,0,8,0.18450029578751376
liquid_online,dense_maze,770103,0,1,22,7.040000000000001,-0.008563048528331285,11,0,8,0.21070692668121127
liquid_supervisor,dense_maze,770103,1,0,46,14.720000000000002,0.2592759477166221,2,16,8,0.23298736184862162
