controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
fixed_policy,train_like,420000,1,0,37,11.840000000000003,0.31991518894201965,2,0,8,0.28585610057858923
liquid_online,train_like,420000,1,0,46,14.719999999999997,0.28342944331622133,1,0,8,0.2348758457039767
liquid_supervisor,train_like,420000,1,0,36,11.520000000000007,0.3872943600362641,0,26,8,0.2995284294143374
fixed_policy,shifted_clutter,420001,1,0,104,33.28000000000001,0.5478492475887444,0,0,8,0.10258240374734942
liquid_online,shifted_clutter,420001,1,0,66,21.120000000000008,0.4561742812076632,0,0,8,0.15863177925673083
liquid_supervisor,shifted_clutter,420001,1,0,36,11.520000000000007,0.3584562533650875,0,22,8,0.2929152040624303
fixed_policy,narrow_gate,420002,1,0,40,12.800000000000002,0.8632445655766068,0,0,8,0.26357118236270505
liquid_online,narrow_gate,420002,1,0,41,13.120000000000003,0.7995341437842003,0,0,8,0.2644095303874678
liquid_supervisor,narrow_gate,420002,1,0,38,12.159999999999997,0.35622121457255246,0,25,8,0.28211108472742474
fixed_policy,u_trap,420003,1,0,41,13.120000000000005,0.6957101837657973,0,0,8,0.25938372187358216
liquid_online,u_trap,420003,1,0,46,14.720000000000002,0.6375657018928231,0,0,8,0.2315144859732027
liquid_supervisor,u_trap,420003,1,0,36,11.520000000000001,0.3504026009508951,0,26,8,0.2916271387587619
