controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress,action_disagreements,beneficial_disagreements,cell,stage,variant,scenario_group,seed_idx
fixed_policy,train_like,2026041300000,0,0,120,38.40000000000003,0.5342131268969601,0,0,120,0.0723912742310152,0,0,fixed,fixed,baseline,default,0
cfc_imitation_pure,train_like,2026041300000,0,1,11,3.5199999999999996,-0.1032693867704863,2,0,120,0.040732106324800815,10,5,cfc,imitation,pure,default,0
cfc_imitation_residual,train_like,2026041300000,1,0,41,13.120000000000001,0.2978604229177544,2,0,41,0.2624048986519598,19,17,cfc,imitation,residual,default,0
cfc_rl_finetune_pure,train_like,2026041300000,0,1,11,3.5199999999999996,-0.1032693867704863,2,0,120,0.040732106324800815,10,5,cfc,rl_finetune,pure,default,0
cfc_rl_finetune_residual,train_like,2026041300000,1,0,39,12.48000000000001,0.4800568693682811,0,0,39,0.27401701455882616,15,13,cfc,rl_finetune,residual,default,0
ltc_imitation_pure,train_like,2026041300000,0,1,20,6.400000000000001,-0.08491793549760074,7,0,120,0.2852135910359848,15,14,ltc,imitation,pure,default,0
ltc_imitation_residual,train_like,2026041300000,1,0,43,13.76,0.3056559517589638,2,0,43,0.2467008051721204,12,9,ltc,imitation,residual,default,0
ltc_rl_finetune_pure,train_like,2026041300000,0,1,20,6.400000000000001,-0.08491793549760074,7,0,120,0.2852135910359848,15,14,ltc,rl_finetune,pure,default,0
ltc_rl_finetune_residual,train_like,2026041300000,1,0,43,13.76,0.3056559517589638,2,0,43,0.2467008051721204,12,9,ltc,rl_finetune,residual,default,0
mlp_imitation_pure,train_like,2026041300000,0,1,8,2.5600000000000005,-0.23732089281150587,2,0,120,0.32000000000000006,8,8,mlp,imitation,pure,default,0
mlp_imitation_residual,train_like,2026041300000,1,0,44,14.079999999999998,0.3056559517589638,3,0,44,0.2450734607960385,15,12,mlp,imitation,residual,default,0
mlp_rl_finetune_pure,train_like,2026041300000,0,1,8,2.5600000000000005,-0.23732089281150587,2,0,120,0.32000000000000006,8,8,mlp,rl_finetune,pure,default,0
mlp_rl_finetune_residual,train_like,2026041300000,1,0,75,24.000000000000004,0.3056559517589638,2,0,75,0.1428667433473112,28,19,mlp,rl_finetune,residual,default,0
cfc_random_residual,train_like,2026041300000,0,0,120,38.40000000000002,0.22942704968430344,4,0,120,0.0179019197215311,18,14,cfc,random,residual,default,0
ltc_random_residual,train_like,2026041300000,1,0,42,13.440000000000001,0.3056559517589638,3,0,42,0.2579688809754018,8,6,ltc,random,residual,default,0
fixed_policy,train_like,2026041300113,1,0,67,21.440000000000012,0.4063990847695295,0,0,67,0.15568235951701728,0,0,fixed,fixed,baseline,default,0
cfc_imitation_pure,train_like,2026041300113,0,1,12,3.8399999999999994,-0.20775502249530714,3,0,120,0.010902931209481123,11,6,cfc,imitation,pure,default,0
cfc_imitation_residual,train_like,2026041300113,1,0,60,19.200000000000006,0.4815628663958968,0,0,60,0.17459597167541516,33,29,cfc,imitation,residual,default,0
cfc_rl_finetune_pure,train_like,2026041300113,0,1,12,3.8399999999999994,-0.20775502249530714,3,0,120,0.010902931209481123,11,6,cfc,rl_finetune,pure,default,0
cfc_rl_finetune_residual,train_like,2026041300113,1,0,118,37.760000000000026,0.2701272806277381,2,0,118,0.08861357841128376,70,62,cfc,rl_finetune,residual,default,0
ltc_imitation_pure,train_like,2026041300113,0,1,8,2.56,-0.0003409336943627772,2,0,120,0.2997047063176508,7,7,ltc,imitation,pure,default,0
ltc_imitation_residual,train_like,2026041300113,1,0,62,19.84000000000001,0.4063990847695295,0,0,62,0.17115816933920705,17,14,ltc,imitation,residual,default,0
ltc_rl_finetune_pure,train_like,2026041300113,0,1,8,2.56,-0.0003409336943627772,2,0,120,0.2997047063176508,7,7,ltc,rl_finetune,pure,default,0
ltc_rl_finetune_residual,train_like,2026041300113,0,0,120,38.40000000000003,0.4063990847695295,0,0,120,0.04502973899217759,39,29,ltc,rl_finetune,residual,default,0
mlp_imitation_pure,train_like,2026041300113,0,1,7,2.24,-0.07054311013717968,2,0,120,0.3199999999999998,7,7,mlp,imitation,pure,default,0
mlp_imitation_residual,train_like,2026041300113,1,0,39,12.480000000000006,0.4063990847695295,0,0,39,0.2716481239693515,8,7,mlp,imitation,residual,default,0
mlp_rl_finetune_pure,train_like,2026041300113,0,1,7,2.24,-0.07054311013717968,2,0,120,0.3199999999999998,7,7,mlp,rl_finetune,pure,default,0
mlp_rl_finetune_residual,train_like,2026041300113,1,0,67,21.440000000000012,0.4897445746657429,0,0,67,0.15543298487468474,13,6,mlp,rl_finetune,residual,default,0
cfc_random_residual,train_like,2026041300113,1,0,92,29.44000000000001,0.429860399414744,0,0,92,0.11546819460238172,10,6,cfc,random,residual,default,0
ltc_random_residual,train_like,2026041300113,1,0,101,32.32000000000002,0.30553093599240494,1,0,101,0.1042473068574801,19,17,ltc,random,residual,default,0
fixed_policy,train_like,2026041300226,0,0,120,38.40000000000003,0.18061210951442397,8,0,120,0.0472189586576385,0,0,fixed,fixed,baseline,default,0
cfc_imitation_pure,train_like,2026041300226,0,1,11,3.52,-0.06526410487363443,2,0,120,0.04064598833232838,9,5,cfc,imitation,pure,default,0
cfc_imitation_residual,train_like,2026041300226,1,0,55,17.60000000000001,0.5643357182684625,0,0,55,0.19424749629496887,25,19,cfc,imitation,residual,default,0
cfc_rl_finetune_pure,train_like,2026041300226,0,1,11,3.52,-0.06526410487363443,2,0,120,0.04064598833232838,9,5,cfc,rl_finetune,pure,default,0
cfc_rl_finetune_residual,train_like,2026041300226,1,0,55,17.60000000000001,0.5643357182684625,0,0,55,0.19369555652928802,23,17,cfc,rl_finetune,residual,default,0
ltc_imitation_pure,train_like,2026041300226,0,1,20,6.4,-0.1407223250767215,7,0,120,0.28500795952414093,13,13,ltc,imitation,pure,default,0
ltc_imitation_residual,train_like,2026041300226,0,0,120,38.40000000000003,0.27200568403313213,3,0,120,0.042438430102996666,40,36,ltc,imitation,residual,default,0
ltc_rl_finetune_pure,train_like,2026041300226,0,1,20,6.4,-0.1407223250767215,7,0,120,0.28500795952414093,13,13,ltc,rl_finetune,pure,default,0
ltc_rl_finetune_residual,train_like,2026041300226,0,0,120,38.40000000000003,0.27200568403313213,3,0,120,0.042438430102996666,40,36,ltc,rl_finetune,residual,default,0
