controller,cell,stage,variant,scenario_group,n,n_seeds,success_rate,success_ci_lower,success_ci_upper,success_seed_mean,success_seed_std,success_seed_ci_lower,success_seed_ci_upper,collision_rate,collision_ci_lower,collision_ci_upper,collision_seed_mean,collision_seed_std,collision_seed_ci_lower,collision_seed_ci_upper,mean_steps,std_steps,mean_min_clearance,std_min_clearance,mean_near_misses,mean_progress,std_progress,mean_action_disagreements,mean_beneficial_disagreements
cfc_imitation_pure,cfc,imitation,pure,default,320,10,0.0,0.0,0.011862589611711402,0.0,0.0,0.0,0.0,0.859375,0.8170098675146713,0.8932138962019112,0.859375,0.29435148231134983,0.6769340611168766,1.0418159388831234,29.790625,38.19817044458385,-0.07059160439927746,0.14638707009183757,5.925,0.10284880819587854,0.11090354976769255,25.68125,8.796875
cfc_imitation_pure,cfc,imitation,pure,hard,400,10,0.0,0.0,0.009512640599680667,0.0,0.0,0.0,0.0,0.94,0.9122765567969421,0.9593523194753389,0.9400000000000001,0.13498971154211056,0.8563325099642108,1.0236674900357892,17.365,28.8228845135111,-0.10189540429512593,0.11603135702152184,4.3025,0.17529205867857772,0.1187740252022478,15.4975,6.905
cfc_imitation_residual,cfc,imitation,residual,default,320,10,0.934375,0.9017641103527031,0.9566802649221225,0.934375,0.08893905919223567,0.87925,0.9894999999999999,0.009375,0.003193310923661572,0.02719685513283024,0.009375,0.015095184110613996,1.8907956131828524e-05,0.01873109204386817,57.2625,24.226591649398568,0.45655808413498755,0.19293572888627541,0.74375,0.20828530964092606,0.06540405601072295,20.371875,16.296875
cfc_imitation_residual,cfc,imitation,residual,hard,400,10,0.37,0.32413116790213314,0.4183421186537838,0.37,0.03291402943021917,0.3495996732052319,0.3904003267947681,0.63,0.5816578813462162,0.6758688320978669,0.63,0.0329140294302192,0.6095996732052319,0.6504003267947681,40.745,17.71495198439792,0.022218234900514767,0.2059387518361588,6.865,0.18666953131835556,0.05461452488192584,11.645,10.2425
cfc_random_residual,cfc,random,residual,default,320,10,0.915625,0.8800227464195618,0.941366475965703,0.915625,0.06596308416244819,0.8747406568612276,0.9565093431387724,0.00625,0.0017156161405087415,0.02249869110105627,0.00625,0.013176156917368249,-0.0019166666666666655,0.014416666666666666,59.803125,26.05170870123337,0.4578211172106328,0.1624956353463152,0.653125,0.20168778574958912,0.06660487162448553,9.459375,7.434375
cfc_random_residual,cfc,random,residual,hard,400,10,0.365,0.3193114328639272,0.41325698009798656,0.365,0.05797509043642028,0.3290666666666667,0.4009333333333333,0.6275,0.5791173246752144,0.673456951971867,0.6275000000000001,0.06174544517614235,0.5892297765880574,0.6657702234119427,41.045,19.10354256010818,0.017639828498027966,0.20883943012088563,6.76,0.18616055068771525,0.05471949228204154,4.7,4.0375
cfc_rl_finetune_pure,cfc,rl_finetune,pure,default,320,10,0.0,0.0,0.011862589611711402,0.0,0.0,0.0,0.0,0.85,0.8067364776893634,0.8849597095824385,0.85,0.2786531346395451,0.6772889978091211,1.022711002190879,30.15,39.755317461412375,-0.060603971451347674,0.14874029578687684,5.8375,0.11184932993493346,0.122158720203324,26.328125,9.253125
cfc_rl_finetune_pure,cfc,rl_finetune,pure,hard,400,10,0.0,0.0,0.009512640599680667,0.0,0.0,0.0,0.0,0.9425,0.9151985747985072,0.9613827382707756,0.9425000000000001,0.10411665466090321,0.8779678288672147,1.0070321711327856,17.6925,29.26335256354175,-0.10147134979282711,0.11843667051540907,4.285,0.179978192163365,0.12359022505468742,15.8325,7.4275
cfc_rl_finetune_residual,cfc,rl_finetune,residual,default,320,10,0.91875,0.8836130289681903,0.9439520522320013,0.91875,0.09104905576421732,0.8623172105755685,0.9751827894244314,0.0,0.0,0.011862589611711402,0.0,0.0,0.0,0.0,58.08125,25.839623985491716,0.4665597788207479,0.19602476442036212,0.784375,0.20779724922728454,0.06819505976775733,20.515625,16.55
cfc_rl_finetune_residual,cfc,rl_finetune,residual,hard,400,10,0.375,0.32895626254334526,0.42342189760657495,0.375,0.03535533905932737,0.3530865338205021,0.3969134661794979,0.6175,0.5689683892522508,0.6637961402068244,0.6175,0.03343733774623149,0.5967753233505991,0.638224676649401,40.645,18.97601638898395,0.03249299088413188,0.2041841306754603,6.6025,0.1888444140956203,0.055462111614398,11.5975,10.0875
