controller,scenario,n,success_rate,collision_rate,mean_steps,mean_path_length,mean_min_clearance,mean_near_misses,mean_overrides,mean_adaptation_lag,mean_progress,cell,stage,variant
cfc_imitation_pure,deceptive_u_trap,2,0.0,1.0,7.5,2.3999999999999995,-0.15665449198835105,2.0,0.0,120.0,0.038310618732085286,cfc,imitation,pure
cfc_imitation_pure,dense_maze,2,0.0,1.0,4.5,1.44,-0.06658972976630859,2.0,0.0,120.0,0.1800982183934942,cfc,imitation,pure
cfc_imitation_pure,labyrinth_maze,2,0.0,1.0,3.0,0.96,-0.02455373021151236,2.0,0.0,120.0,0.24558879534850675,cfc,imitation,pure
cfc_imitation_pure,narrow_gate,2,0.0,1.0,7.0,2.24,-0.01904552532329512,2.0,0.0,120.0,0.06000910268925276,cfc,imitation,pure
cfc_imitation_pure,sensor_shadow,2,0.0,1.0,7.5,2.4000000000000004,-0.18505599787042074,2.0,0.0,120.0,0.03824051565987986,cfc,imitation,pure
cfc_imitation_pure,shifted_clutter,2,0.0,1.0,7.0,2.24,-0.08473836050770556,2.0,0.0,120.0,0.060080737817603716,cfc,imitation,pure
cfc_imitation_pure,train_like,2,0.0,1.0,7.5,2.4,-0.11094186462273142,2.0,0.0,120.0,0.038203422837582074,cfc,imitation,pure
cfc_imitation_pure,u_trap,2,0.0,1.0,8.0,2.56,-0.29616571460867247,3.0,0.0,120.0,0.016513517934382937,cfc,imitation,pure
cfc_imitation_pure,zigzag_corridor,2,0.0,1.0,8.0,2.56,-0.2698985412606718,2.0,0.0,120.0,0.01645157462517821,cfc,imitation,pure
cfc_imitation_residual,deceptive_u_trap,2,1.0,0.0,42.0,13.440000000000005,0.3294232243714476,2.5,0.0,42.0,0.2550510800011896,cfc,imitation,residual
cfc_imitation_residual,dense_maze,2,0.5,0.5,49.5,15.840000000000007,0.035969183197101046,7.5,0.0,93.5,0.17699105228402606,cfc,imitation,residual
cfc_imitation_residual,labyrinth_maze,2,0.0,1.0,44.0,14.080000000000004,-0.038667928114050176,12.5,0.0,120.0,0.18800170989577544,cfc,imitation,residual
cfc_imitation_residual,narrow_gate,2,0.5,0.0,90.0,28.80000000000002,0.3486250257778379,1.5,0.0,90.0,0.13202250663115347,cfc,imitation,residual
cfc_imitation_residual,sensor_shadow,2,0.0,1.0,18.5,5.92,-0.16660176650504513,2.0,0.0,120.0,0.2308513707460529,cfc,imitation,residual
cfc_imitation_residual,shifted_clutter,2,1.0,0.0,41.5,13.280000000000005,0.3292617111507084,0.5,0.0,41.5,0.25581437803166074,cfc,imitation,residual
cfc_imitation_residual,train_like,2,0.5,0.0,84.5,27.040000000000017,0.41491573431103523,1.0,0.0,84.5,0.1333919968145671,cfc,imitation,residual
cfc_imitation_residual,u_trap,2,1.0,0.0,39.5,12.640000000000008,0.5847584223680637,0.0,0.0,39.5,0.2666330991607794,cfc,imitation,residual
cfc_imitation_residual,zigzag_corridor,2,0.0,1.0,46.0,14.720000000000006,-0.08461700795884017,19.0,0.0,120.0,0.13379236515450935,cfc,imitation,residual
cfc_rl_finetune_pure,deceptive_u_trap,2,0.0,1.0,7.5,2.3999999999999995,-0.15665449198835105,2.0,0.0,120.0,0.038310618732085286,cfc,rl_finetune,pure
cfc_rl_finetune_pure,dense_maze,2,0.0,1.0,4.5,1.44,-0.12479910972214932,2.0,0.0,120.0,0.19947527004827997,cfc,rl_finetune,pure
cfc_rl_finetune_pure,labyrinth_maze,2,0.0,1.0,3.0,0.96,-0.02455373021151236,2.0,0.0,120.0,0.24558879534850675,cfc,rl_finetune,pure
cfc_rl_finetune_pure,narrow_gate,2,0.0,1.0,8.0,2.56,-0.11399780385834474,2.0,0.0,120.0,0.06296666851481691,cfc,rl_finetune,pure
cfc_rl_finetune_pure,sensor_shadow,2,0.0,1.0,7.5,2.4000000000000004,-0.18505599787042074,2.0,0.0,120.0,0.03824051565987986,cfc,rl_finetune,pure
cfc_rl_finetune_pure,shifted_clutter,2,0.0,1.0,7.0,2.24,-0.08473836050770556,2.0,0.0,120.0,0.060080737817603716,cfc,rl_finetune,pure
cfc_rl_finetune_pure,train_like,2,0.0,1.0,7.5,2.4,-0.11094186462273142,2.0,0.0,120.0,0.038203422837582074,cfc,rl_finetune,pure
cfc_rl_finetune_pure,u_trap,2,0.0,1.0,8.0,2.56,-0.29616571460867247,3.0,0.0,120.0,0.016513517934382937,cfc,rl_finetune,pure
cfc_rl_finetune_pure,zigzag_corridor,2,0.0,1.0,8.5,2.7199999999999998,-0.29613765401082187,2.5,0.0,120.0,0.030125530056579437,cfc,rl_finetune,pure
cfc_rl_finetune_residual,deceptive_u_trap,2,1.0,0.0,42.0,13.440000000000005,0.23187757815646476,2.0,0.0,42.0,0.2521630243938913,cfc,rl_finetune,residual
cfc_rl_finetune_residual,dense_maze,2,1.0,0.0,88.0,28.160000000000018,0.04559846349332641,13.0,0.0,88.0,0.12130876403289476,cfc,rl_finetune,residual
cfc_rl_finetune_residual,labyrinth_maze,2,1.0,0.0,48.0,15.360000000000005,0.05304316577807683,16.5,0.0,48.0,0.2222391163541204,cfc,rl_finetune,residual
cfc_rl_finetune_residual,narrow_gate,2,1.0,0.0,69.5,22.240000000000013,0.47134123080678025,0.0,0.0,69.5,0.15539808065602775,cfc,rl_finetune,residual
cfc_rl_finetune_residual,sensor_shadow,2,0.0,1.0,19.5,6.24,-0.06294426479973264,3.0,0.0,120.0,0.23544295274612737,cfc,rl_finetune,residual
