cell,stage,scenario_group,pure_success,residual_success,delta_success,pure_collision,residual_collision,delta_collision,pure_min_clearance,residual_min_clearance,delta_min_clearance
cfc,imitation,default,0.0,0.9583333333333334,0.9583333333333334,1.0,0.041666666666666664,-0.9583333333333334,-0.06218344496838211,0.42864228385551595,0.4908257288238981
cfc,imitation,hard,0.0,0.4,0.4,1.0,0.6,-0.4,-0.11543500720792946,0.02552640074266308,0.14096140795059253
cfc,rl_finetune,default,0.0,0.9583333333333334,0.9583333333333334,1.0,0.041666666666666664,-0.9583333333333334,-0.06218344496838211,0.41024553159863,0.4724289765670121
cfc,rl_finetune,hard,0.0,0.4,0.4,1.0,0.6,-0.4,-0.12183408386326544,0.031406706388235846,0.15324079025150128
ltc,imitation,default,0.0,0.875,0.875,0.4583333333333333,0.041666666666666664,-0.41666666666666663,0.10386702013581006,0.4515450668328666,0.34767804669705654
ltc,imitation,hard,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666663,0.1073163152783442,0.005624269528251079,-0.10169204575009312
ltc,rl_finetune,default,0.0,0.9166666666666666,0.9166666666666666,0.5,0.041666666666666664,-0.4583333333333333,0.08140845910624654,0.4456237656453858,0.36421530653913925
ltc,rl_finetune,hard,0.0,0.36666666666666664,0.36666666666666664,0.5,0.6333333333333333,0.1333333333333333,0.0849449611217806,0.03350273573569967,-0.05144222538608093
mlp,imitation,default,0.0,0.9166666666666666,0.9166666666666666,1.0,0.041666666666666664,-0.9583333333333334,-0.13484958809918107,0.44483606581145424,0.5796856539106353
mlp,imitation,hard,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,-0.33333333333333337,-0.12412184985823195,0.025282276328273037,0.14940412618650498
mlp,rl_finetune,default,0.0,0.875,0.875,1.0,0.041666666666666664,-0.9583333333333334,-0.14533433648959027,0.4517101769230906,0.5970445134126809
mlp,rl_finetune,hard,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,-0.33333333333333337,-0.12430164167303474,0.018255453797004287,0.14255709547003903
