scenario_group,comparison,controller_a,controller_b,n_a,n_b,small_n_warning,mean_a,mean_b,delta,mann_whitney_U,p_value_raw,cohens_d,p_value_bh_corrected,significant_005
default,residual_vs_pure,cfc_imitation_residual,cfc_imitation_pure,320,320,no,0.934375,0.0,0.934375,99040.0,0.0,5.327964187281328,0.0,yes
default,ncp_vs_fixed,cfc_imitation_residual,fixed_policy,320,320,no,0.934375,0.878125,0.05624999999999991,54080.0,0.014723048793349403,0.1935817524546077,0.04784990857838556,yes
default,residual_vs_pure,cfc_rl_finetune_residual,cfc_rl_finetune_pure,320,320,no,0.91875,0.0,0.91875,98240.0,0.0,4.748127161151177,0.0,yes
default,ncp_vs_fixed,cfc_rl_finetune_residual,fixed_policy,320,320,no,0.91875,0.878125,0.04062499999999991,53280.0,0.0891645485211584,0.134582071733739,0.21075256923182897,no
default,trained_vs_random,cfc_rl_finetune_residual,cfc_random_residual,320,320,no,0.91875,0.915625,0.0031249999999999334,51360.0,0.88604089559228,0.011321405412221127,1.0,no
default,residual_vs_pure,ltc_imitation_residual,ltc_imitation_pure,320,320,no,0.896875,0.0,0.896875,97120.0,0.0,4.164082532003098,0.0,yes
default,ncp_vs_fixed,ltc_imitation_residual,fixed_policy,320,320,no,0.896875,0.878125,0.018749999999999933,52160.0,0.4532545689439824,0.05927238698610688,0.7856412528362362,no
default,residual_vs_pure,ltc_rl_finetune_residual,ltc_rl_finetune_pure,320,320,no,0.909375,0.0,0.909375,97760.0,0.0,4.472834671659573,0.0,yes
default,ncp_vs_fixed,ltc_rl_finetune_residual,fixed_policy,320,320,no,0.909375,0.878125,0.03125,52800.0,0.19993605535461356,0.10138107050046467,0.3998721107092271,no
default,trained_vs_random,ltc_rl_finetune_residual,ltc_random_residual,320,320,no,0.909375,0.884375,0.025000000000000022,52480.0,0.2988081737346494,0.08214470471003277,0.554929465507206,no
default,residual_vs_pure,mlp_imitation_residual,mlp_imitation_pure,320,320,no,0.94375,0.0,0.94375,99520.0,0.0,5.7836575317392755,0.0,yes
default,mlp_vs_fixed,mlp_imitation_residual,fixed_policy,320,320,no,0.94375,0.878125,0.06562499999999993,54560.0,0.0035908487183584636,0.23157887212884581,0.013337438096760008,yes
default,residual_vs_pure,mlp_rl_finetune_residual,mlp_rl_finetune_pure,320,320,no,0.9125,0.0,0.9125,97920.0,0.0,4.559820641836067,0.0,yes
default,mlp_vs_fixed,mlp_rl_finetune_residual,fixed_policy,320,320,no,0.9125,0.878125,0.03437499999999993,52960.0,0.15585529488978256,0.11228294684213937,0.3376864722611956,no
default,ncp_vs_mlp,cfc_imitation_pure,mlp_imitation_pure,320,320,no,0.0,0.0,0.0,51200.0,1.0,0.0,1.0,no
default,ncp_vs_mlp,cfc_imitation_residual,mlp_imitation_residual,320,320,no,0.934375,0.94375,-0.009375000000000022,50720.0,0.6203611528056137,-0.03913681311559588,1.0,no
default,ncp_vs_mlp,cfc_rl_finetune_pure,mlp_rl_finetune_pure,320,320,no,0.0,0.0,0.0,51200.0,1.0,0.0,1.0,no
default,ncp_vs_mlp,cfc_rl_finetune_residual,mlp_rl_finetune_residual,320,320,no,0.91875,0.9125,0.006249999999999978,51520.0,0.7762519000767124,0.022452365646747966,1.0,no
default,ncp_vs_mlp,ltc_imitation_pure,mlp_imitation_pure,320,320,no,0.0,0.0,0.0,51200.0,1.0,0.0,1.0,no
default,ncp_vs_mlp,ltc_imitation_residual,mlp_imitation_residual,320,320,no,0.896875,0.94375,-0.046875,48800.0,0.028687254803740903,-0.17347283798397065,0.0828742916552515,no
default,ncp_vs_mlp,ltc_rl_finetune_pure,mlp_rl_finetune_pure,320,320,no,0.0,0.0,0.0,51200.0,1.0,0.0,1.0,no
default,ncp_vs_mlp,ltc_rl_finetune_residual,mlp_rl_finetune_residual,320,320,no,0.909375,0.9125,-0.0031249999999999334,51040.0,0.8897118278776267,-0.010954313792797578,1.0,no
default,cfc_vs_ltc,cfc_imitation_pure,ltc_imitation_pure,320,320,no,0.0,0.0,0.0,51200.0,1.0,0.0,1.0,no
default,cfc_vs_ltc,cfc_imitation_residual,ltc_imitation_residual,320,320,no,0.934375,0.896875,0.03749999999999998,53120.0,0.08814926274763368,0.1350132268652646,0.21075256923182897,no
default,cfc_vs_ltc,cfc_rl_finetune_pure,ltc_rl_finetune_pure,320,320,no,0.0,0.0,0.0,51200.0,1.0,0.0,1.0,no
default,cfc_vs_ltc,cfc_rl_finetune_residual,ltc_rl_finetune_residual,320,320,no,0.91875,0.909375,0.009374999999999911,51680.0,0.6724572999804144,0.0334020463202054,1.0,no
hard,residual_vs_pure,cfc_imitation_residual,cfc_imitation_pure,400,400,no,0.37,0.0,0.37,109600.0,0.0,1.0824355254086346,0.0,yes
hard,ncp_vs_fixed,cfc_imitation_residual,fixed_policy,400,400,no,0.37,0.37,0.0,80000.0,1.0,0.0,1.0,no
hard,residual_vs_pure,cfc_rl_finetune_residual,cfc_rl_finetune_pure,400,400,no,0.375,0.0,0.375,110000.0,0.0,1.0940749517286281,0.0,yes
hard,ncp_vs_fixed,cfc_rl_finetune_residual,fixed_policy,400,400,no,0.375,0.37,0.0050000000000000044,80400.0,0.883791092458384,0.010329094700735208,1.0,no
hard,trained_vs_random,cfc_rl_finetune_residual,cfc_random_residual,400,400,no,0.375,0.365,0.010000000000000009,80800.0,0.7697260831332197,0.020687528324256136,1.0,no
hard,residual_vs_pure,ltc_imitation_residual,ltc_imitation_pure,400,400,no,0.355,0.0,0.355,108400.0,0.0,1.047866048602565,0.0,yes
hard,ncp_vs_fixed,ltc_imitation_residual,fixed_policy,400,400,no,0.355,0.37,-0.015000000000000013,78800.0,0.6592116136327917,-0.031167823294138808,1.0,no
hard,residual_vs_pure,ltc_rl_finetune_residual,ltc_rl_finetune_pure,400,400,no,0.355,0.0,0.355,108400.0,0.0,1.047866048602565,0.0,yes
hard,ncp_vs_fixed,ltc_rl_finetune_residual,fixed_policy,400,400,no,0.355,0.37,-0.015000000000000013,78800.0,0.6592116136327917,-0.031167823294138808,1.0,no
hard,trained_vs_random,ltc_rl_finetune_residual,ltc_random_residual,400,400,no,0.355,0.3625,-0.007500000000000007,79400.0,0.8250914261920632,-0.015617853543595772,1.0,no
hard,residual_vs_pure,mlp_imitation_residual,mlp_imitation_pure,400,400,no,0.3475,0.0,0.3475,107800.0,0.0,1.0307624674811438,0.0,yes
