cell,phase,epoch_or_episode,loss,train_accuracy,val_loss,val_accuracy,episode_return,success,collision,seed_idx
cfc,imitation,1,1.9391487836837769,0.21614583333333334,1.9204647541046143,0.2291666716337204,,,,0
cfc,imitation,2,1.9259583950042725,0.21875,1.9106836318969727,0.2291666716337204,,,,0
cfc,rl_finetune,1,-0.36120274662971497,,,,-7.625383567710046,0,1,0
cfc,rl_finetune,2,-0.3658828139305115,,,,-2.505204354221582,0,1,0
cfc,rl_finetune,3,0.11737364530563354,,,,-6.266951560267494,0,1,0
ltc,imitation,1,1.9789857268333435,0.010416666666666666,1.9713531732559204,0.010416666977107525,,,,0
ltc,imitation,2,1.97119140625,0.010416666666666666,1.9654690027236938,0.010416666977107525,,,,0
ltc,rl_finetune,1,-0.12661726772785187,,,,-9.621065327484795,0,1,0
ltc,rl_finetune,2,-0.09064611047506332,,,,-10.798420623861936,0,1,0
ltc,rl_finetune,3,-0.08986351639032364,,,,-12.285834784776483,0,1,0
mlp,imitation,1,1.8994286060333252,0.5755208333333334,1.8957452774047852,0.5520833134651184,,,,0
mlp,imitation,2,1.8808799982070923,0.5755208333333334,1.8888123035430908,0.53125,,,,0
mlp,rl_finetune,1,0.21777835488319397,,,,-1.531698756626864,0,1,0
mlp,rl_finetune,2,0.07530903816223145,,,,-1.986881646297597,0,1,0
mlp,rl_finetune,3,-0.17318415641784668,,,,-2.2854166996476892,0,1,0
cfc,imitation,1,1.87123441696167,0.5755208333333334,1.8977514505386353,0.7083333134651184,,,,1
cfc,imitation,2,1.8722922801971436,0.5755208333333334,1.892780065536499,0.7083333134651184,,,,1
cfc,rl_finetune,1,-0.19427156448364258,,,,-10.341393298274655,0,1,1
cfc,rl_finetune,2,0.8247969150543213,,,,-7.134397330835672,0,1,1
cfc,rl_finetune,3,-1.904508113861084,,,,4.030903810469017,0,1,1
ltc,imitation,1,2.070922017097473,0.0,1.9822921752929688,0.0,,,,1
ltc,imitation,2,2.0404919385910034,0.0,1.972718358039856,0.0,,,,1
ltc,rl_finetune,1,-0.2735758423805237,,,,-11.710411249622572,0,1,1
ltc,rl_finetune,2,0.3401185870170593,,,,-2.3489717729583273,0,1,1
ltc,rl_finetune,3,0.3049783706665039,,,,-7.106712339984384,0,1,1
mlp,imitation,1,1.998007595539093,0.2265625,2.0259993076324463,0.1041666641831398,,,,1
mlp,imitation,2,1.9886141419410706,0.2265625,2.0137991905212402,0.1041666641831398,,,,1
mlp,rl_finetune,1,0.10905086994171143,,,,-0.029345949481679373,0,1,1
mlp,rl_finetune,2,-0.46949732303619385,,,,-7.4341909343689405,0,1,1
mlp,rl_finetune,3,0.24150870740413666,,,,-3.4933120700099307,0,1,1
