controller,scenario,n,success_rate,collision_rate,mean_steps,mean_path_length,mean_min_clearance,mean_near_misses,mean_overrides,mean_adaptation_lag,mean_progress
fixed_policy,narrow_gate,20,1.0,0.0,49.95,15.984000000000005,0.5887576137818148,0.45,0.0,8.0,0.2204508948109353
fixed_policy,shifted_clutter,20,0.9,0.05,59.65,19.088000000000005,0.48937122968656876,0.55,0.0,14.05,0.1964427932595348
fixed_policy,train_like,20,1.0,0.0,53.1,16.992000000000008,0.45602723074210616,0.5,0.0,9.5,0.21550685907919007
fixed_policy,u_trap,20,1.0,0.0,48.65,15.568000000000007,0.5571258203573022,0.2,0.0,8.0,0.22796434979973199
liquid_online,narrow_gate,20,1.0,0.0,54.95,17.58400000000001,0.3620083960184309,1.4,0.0,8.0,0.2013069555077564
liquid_online,shifted_clutter,20,0.9,0.1,46.2,14.784000000000002,0.27041055008952425,1.9,0.0,14.05,0.22710092570419044
liquid_online,train_like,20,1.0,0.0,46.5,14.880000000000004,0.3463292859560966,1.1,0.0,12.35,0.23374089118578692
liquid_online,u_trap,20,0.95,0.05,50.2,16.064000000000007,0.16754751383579766,2.85,0.0,8.0,0.21316142401356938
liquid_supervisor,narrow_gate,20,1.0,0.0,51.05,16.33600000000001,0.4681369408818063,0.0,0.65,8.0,0.215736343379927
liquid_supervisor,shifted_clutter,20,1.0,0.0,50.8,16.256000000000004,0.4192357174109732,0.1,1.1,8.35,0.21693441524673304
liquid_supervisor,train_like,20,0.95,0.0,54.25,17.360000000000007,0.4053591721696955,0.05,1.1,8.0,0.2165328251533833
liquid_supervisor,u_trap,20,1.0,0.0,58.2,18.624000000000013,0.41439085286184296,0.0,1.4,8.0,0.19527153116633986
