controller,scenario,n,success_rate,collision_rate,mean_steps,mean_path_length,mean_min_clearance,mean_near_misses,mean_overrides,mean_adaptation_lag,mean_progress
fixed_policy,narrow_gate,1,1.0,0.0,40.0,12.800000000000002,0.8632445655766068,0.0,0.0,8.0,0.26357118236270505
fixed_policy,shifted_clutter,1,1.0,0.0,104.0,33.28000000000001,0.5478492475887444,0.0,0.0,8.0,0.10258240374734942
fixed_policy,train_like,1,1.0,0.0,37.0,11.840000000000003,0.31991518894201965,2.0,0.0,8.0,0.28585610057858923
fixed_policy,u_trap,1,1.0,0.0,41.0,13.120000000000005,0.6957101837657973,0.0,0.0,8.0,0.25938372187358216
liquid_online,narrow_gate,1,1.0,0.0,41.0,13.120000000000003,0.7995341437842003,0.0,0.0,8.0,0.2644095303874678
liquid_online,shifted_clutter,1,1.0,0.0,66.0,21.120000000000008,0.4561742812076632,0.0,0.0,8.0,0.15863177925673083
liquid_online,train_like,1,1.0,0.0,46.0,14.719999999999997,0.28342944331622133,1.0,0.0,8.0,0.2348758457039767
liquid_online,u_trap,1,1.0,0.0,46.0,14.720000000000002,0.6375657018928231,0.0,0.0,8.0,0.2315144859732027
liquid_supervisor,narrow_gate,1,1.0,0.0,38.0,12.159999999999997,0.35622121457255246,0.0,25.0,8.0,0.28211108472742474
liquid_supervisor,shifted_clutter,1,1.0,0.0,36.0,11.520000000000007,0.3584562533650875,0.0,22.0,8.0,0.2929152040624303
liquid_supervisor,train_like,1,1.0,0.0,36.0,11.520000000000007,0.3872943600362641,0.0,26.0,8.0,0.2995284294143374
liquid_supervisor,u_trap,1,1.0,0.0,36.0,11.520000000000001,0.3504026009508951,0.0,26.0,8.0,0.2916271387587619
